Year,DC_Energy_TWh,Grid_CarbonIntensity_gCO2perKWh,Renewable_Pct,Derived_CO2_MtCO2,LBNL_Predicted_CO2_MtCO2,Actual_CO2_MtCO2,Data_Source_Energy
2014,58.0,529.41,5.99,30.71,19.72,,LBNL 2024
2015,62.1,504.9,6.15,31.35,21.11,,LBNL 2024
2016,66.4,483.35,6.84,32.09,22.58,,LBNL 2024
2017,71.1,469.02,7.82,33.35,24.17,,LBNL 2024
2018,76.0,462.61,7.79,35.16,25.84,31.5,LBNL 2024
2019,89.7,439.45,8.69,39.42,30.5,,LBNL 2024
2020,105.8,411.73,9.15,43.56,35.97,,LBNL 2024
2021,124.9,423.78,9.25,52.93,42.47,,LBNL 2024
2022,147.3,410.39,9.87,60.45,50.08,,LBNL 2024
2023,176.0,392.89,10.04,69.15,59.84,,LBNL 2024
2024,183.0,383.78,10.64,70.23,62.22,105.0,IEA 2025
